name	mpg	cylinders	displacement	horsepower	weight	acceleration	year	origin
chevrolet chevelle malibu	18.0	8	307.0	130.0	3504.0	12.0	1970	USA
buick skylark 320	15.0	8	350.0	165.0	3693.0	11.5	1970	USA
plymouth satellite	18.0	8	318.0	150.0	3436.0	11.0	1970	USA
amc rebel sst	16.0	8	304.0	150.0	3433.0	12.0	1970	USA
ford torino	17.0	8	302.0	140.0	3449.0	10.5	1970	USA
ford galaxie 500	15.0	8	429.0	198.0	4341.0	10.0	1970	USA
chevrolet impala	14.0	8	454.0	220.0	4354.0	9.0	1970	USA
plymouth fury iii	14.0	8	440.0	215.0	4312.0	8.5	1970	USA
pontiac catalina	14.0	8	455.0	225.0	4425.0	10.0	1970	USA
amc ambassador dpl	15.0	8	390.0	190.0	3850.0	8.5	1970	USA
dodge challenger se	15.0	8	383.0	170.0	3563.0	10.0	1970	USA
plymouth 'cuda 340	14.0	8	340.0	160.0	3609.0	8.0	1970	USA
chevrolet monte carlo	15.0	8	400.0	150.0	3761.0	9.5	1970	USA
buick estate wagon (sw)	14.0	8	455.0	225.0	3086.0	10.0	1970	USA
toyota corona mark ii	24.0	4	113.0	95.0	2372.0	15.0	1970	Japan
plymouth duster	22.0	6	198.0	95.0	2833.0	15.5	1970	USA
amc hornet	18.0	6	199.0	97.0	2774.0	15.5	1970	USA
ford maverick	21.0	6	200.0	85.0	2587.0	16.0	1970	USA
datsun pl510	27.0	4	97.0	88.0	2130.0	14.5	1970	Japan
volkswagen 1131 deluxe sedan	26.0	4	97.0	46.0	1835.0	20.5	1970	Europe
peugeot 504	25.0	4	110.0	87.0	2672.0	17.5	1970	Europe
audi 100 ls	24.0	4	107.0	90.0	2430.0	14.5	1970	Europe
saab 99e	25.0	4	104.0	95.0	2375.0	17.5	1970	Europe
bmw 2002	26.0	4	121.0	113.0	2234.0	12.5	1970	Europe
amc gremlin	21.0	6	199.0	90.0	2648.0	15.0	1970	USA
ford f250	10.0	8	360.0	215.0	4615.0	14.0	1970	USA
chevy c20	10.0	8	307.0	200.0	4376.0	15.0	1970	USA
dodge d200	11.0	8	318.0	210.0	4382.0	13.5	1970	USA
hi 1200d	9.0	8	304.0	193.0	4732.0	18.5	1970	USA
datsun pl510	27.0	4	97.0	88.0	2130.0	14.5	1971	Japan
chevrolet vega 2300	28.0	4	140.0	90.0	2264.0	15.5	1971	USA
toyota corona	25.0	4	113.0	95.0	2228.0	14.0	1971	Japan
amc gremlin	19.0	6	232.0	100.0	2634.0	13.0	1971	USA
plymouth satellite custom	16.0	6	225.0	105.0	3439.0	15.5	1971	USA
chevrolet chevelle malibu	17.0	6	250.0	100.0	3329.0	15.5	1971	USA
ford torino 500	19.0	6	250.0	88.0	3302.0	15.5	1971	USA
amc matador	18.0	6	232.0	100.0	3288.0	15.5	1971	USA
chevrolet impala	14.0	8	350.0	165.0	4209.0	12.0	1971	USA
pontiac catalina brougham	14.0	8	400.0	175.0	4464.0	11.5	1971	USA
ford galaxie 500	14.0	8	351.0	153.0	4154.0	13.5	1971	USA
plymouth fury iii	14.0	8	318.0	150.0	4096.0	13.0	1971	USA
dodge monaco (sw)	12.0	8	383.0	180.0	4955.0	11.5	1971	USA
ford country squire (sw)	13.0	8	400.0	170.0	4746.0	12.0	1971	USA
pontiac safari (sw)	13.0	8	400.0	175.0	5140.0	12.0	1971	USA
amc hornet sportabout (sw)	18.0	6	258.0	110.0	2962.0	13.5	1971	USA
chevrolet vega (sw)	22.0	4	140.0	72.0	2408.0	19.0	1971	USA
pontiac firebird	19.0	6	250.0	100.0	3282.0	15.0	1971	USA
ford mustang	18.0	6	250.0	88.0	3139.0	14.5	1971	USA
mercury capri 2000	23.0	4	122.0	86.0	2220.0	14.0	1971	USA
opel 1900	28.0	4	116.0	90.0	2123.0	14.0	1971	Europe
peugeot 304	30.0	4	79.0	70.0	2074.0	19.5	1971	Europe
fiat 124b	30.0	4	88.0	76.0	2065.0	14.5	1971	Europe
toyota corolla 1200	31.0	4	71.0	65.0	1773.0	19.0	1971	Japan
datsun 1200	35.0	4	72.0	69.0	1613.0	18.0	1971	Japan
volkswagen model 111	27.0	4	97.0	60.0	1834.0	19.0	1971	Europe
plymouth cricket	26.0	4	91.0	70.0	1955.0	20.5	1971	USA
toyota corona hardtop	24.0	4	113.0	95.0	2278.0	15.5	1972	Japan
dodge colt hardtop	25.0	4	97.5	80.0	2126.0	17.0	1972	USA
volkswagen type 3	23.0	4	97.0	54.0	2254.0	23.5	1972	Europe
chevrolet vega	20.0	4	140.0	90.0	2408.0	19.5	1972	USA
ford pinto runabout	21.0	4	122.0	86.0	2226.0	16.5	1972	USA
chevrolet impala	13.0	8	350.0	165.0	4274.0	12.0	1972	USA
pontiac catalina	14.0	8	400.0	175.0	4385.0	12.0	1972	USA
plymouth fury iii	15.0	8	318.0	150.0	4135.0	13.5	1972	USA
ford galaxie 500	14.0	8	351.0	153.0	4129.0	13.0	1972	USA
amc ambassador sst	17.0	8	304.0	150.0	3672.0	11.5	1972	USA
mercury marquis	11.0	8	429.0	208.0	4633.0	11.0	1972	USA
buick lesabre custom	13.0	8	350.0	155.0	4502.0	13.5	1972	USA
oldsmobile delta 88 royale	12.0	8	350.0	160.0	4456.0	13.5	1972	USA
chrysler newport royal	13.0	8	400.0	190.0	4422.0	12.5	1972	USA
mazda rx2 coupe	19.0	3	70.0	97.0	2330.0	13.5	1972	Japan
